time,ax,ay,az,gx,gy,gz,quality
0.1,-0.893920898,-0.306396484,-0.35534668,-0.732421875,0.549316406,-0.671386719,0
0.2,-0.893920898,-0.306396484,-0.35534668,-0.732421875,0,-0.671386719,0
0.3,-0.893920898,-0.306396484,-0.35534668,-0.732421875,0,-0.671386719,0
0.4,-0.893920898,-0.306396484,-0.35534668,-0.732421875,0,-3.173828125,0
0.5,-0.91809082,-0.306396484,-0.35534668,-0.732421875,0,-3.173828125,0
0.6,-0.91809082,-0.451049805,-0.35534668,-0.732421875,0,-3.173828125,0
0.7,-0.91809082,-0.451049805,-0.787597656,-0.732421875,0,-3.173828125,0
0.8,-0.91809082,-0.451049805,-0.787597656,-7.690429688,0,-3.173828125,0
0.9,-0.91809082,-0.451049805,-0.787597656,-7.690429688,0,-3.173828125,0
1,-0.91809082,-0.451049805,-0.787597656,-7.690429688,81.84814453,-3.173828125,0
1.1,-0.91809082,-0.451049805,-0.787597656,-7.690429688,81.84814453,-26.79443359,0
1.2,0.185791016,-0.451049805,-0.787597656,-7.690429688,81.84814453,-26.79443359,0
1.3,0.185791016,-0.475341797,-0.787597656,-7.690429688,81.84814453,-26.79443359,0
1.4,0.185791016,-0.475341797,-0.717285156,-7.690429688,81.84814453,-26.79443359,0
1.5,0.185791016,-0.475341797,-0.717285156,9.094238281,81.84814453,-26.79443359,0
1.6,0.185791016,-0.475341797,-0.717285156,9.094238281,23.74267578,-26.79443359,0
1.8,0.185791016,-0.475341797,-0.717285156,9.094238281,23.74267578,6.164550781,0
1.9,0.185791016,-0.475341797,-0.717285156,9.094238281,23.74267578,6.164550781,0
2,0.454711914,-0.475341797,-0.717285156,9.094238281,23.74267578,6.164550781,0
2.1,0.454711914,-0.490234375,-0.717285156,9.094238281,23.74267578,6.164550781,0
2.2,0.454711914,-0.490234375,-0.89050293,9.094238281,23.74267578,6.164550781,0
2.3,0.454711914,-0.490234375,-0.89050293,7.690429688,23.74267578,6.164550781,0
2.4,0.454711914,-0.490234375,-0.89050293,7.690429688,-59.14306641,6.164550781,0
2.5,0.454711914,-0.490234375,-0.89050293,7.690429688,-59.14306641,23.4375,0
2.6,-0.520751953,-0.490234375,-0.89050293,7.690429688,-59.14306641,23.4375,0
2.7,-0.520751953,-0.342041016,-0.89050293,7.690429688,-59.14306641,23.4375,0
2.8,-0.520751953,-0.342041016,-0.683349609,7.690429688,-59.14306641,23.4375,0
2.9,-0.520751953,-0.342041016,-0.683349609,7.690429688,-59.14306641,23.4375,0
3,-0.520751953,-0.342041016,-0.683349609,0.732421875,-59.14306641,23.4375,0
3.1,-0.520751953,-0.342041016,-0.683349609,0.732421875,-17.33398438,23.4375,0
3.3,-0.520751953,-0.342041016,-0.683349609,0.732421875,-17.33398438,10.00976563,0
3.4,-0.811157227,-0.342041016,-0.683349609,0.732421875,-17.33398438,10.00976563,0
3.5,-0.811157227,-0.21862793,-0.683349609,0.732421875,-17.33398438,10.00976563,0
3.6,-0.811157227,-0.21862793,-0.43371582,0.732421875,-17.33398438,10.00976563,0
3.7,-0.811157227,-0.21862793,-0.43371582,15.25878906,-17.33398438,10.00976563,0
3.8,-0.811157227,-0.21862793,-0.43371582,15.25878906,-17.33398438,10.00976563,0
3.9,-0.811157227,-0.21862793,-0.43371582,15.25878906,28.38134766,10.00976563,0
4,-0.811157227,-0.21862793,-0.43371582,15.25878906,28.38134766,-27.03857422,0
4.1,-0.725097656,-0.21862793,-0.43371582,15.25878906,28.38134766,-27.03857422,0
4.2,-0.725097656,-0.21862793,-0.43371582,15.25878906,28.38134766,-27.03857422,0
4.3,-0.725097656,-0.309326172,-0.43371582,15.25878906,28.38134766,-27.03857422,0
4.4,-0.725097656,-0.309326172,-0.873535156,15.25878906,28.38134766,-27.03857422,0
4.5,-0.725097656,-0.309326172,-0.873535156,10.98632813,28.38134766,-27.03857422,0
4.6,-0.725097656,-0.309326172,-0.873535156,10.98632813,69.09179688,-27.03857422,0
4.7,-0.725097656,-0.309326172,-0.873535156,10.98632813,69.09179688,-22.52197266,0
4.8,0.315551758,-0.309326172,-0.873535156,10.98632813,69.09179688,-22.52197266,0
4.9,0.315551758,-0.426269531,-0.873535156,10.98632813,69.09179688,-22.52197266,0
5,0.315551758,-0.426269531,-0.873535156,10.98632813,69.09179688,-22.52197266,0
5.1,0.315551758,-0.426269531,-0.720336914,10.98632813,69.09179688,-22.52197266,0
5.3,0.315551758,-0.426269531,-0.720336914,9.948730469,69.09179688,-22.52197266,0
5.4,0.315551758,-0.426269531,-0.720336914,9.948730469,-54.07714844,-22.52197266,0
5.5,0.315551758,-0.426269531,-0.720336914,9.948730469,-54.07714844,20.69091797,0
5.6,0.224609375,-0.426269531,-0.720336914,9.948730469,-54.07714844,20.69091797,0
5.7,0.224609375,-0.426269531,-0.720336914,9.948730469,-54.07714844,20.69091797,0
5.8,0.224609375,-0.419921875,-0.720336914,9.948730469,-54.07714844,20.69091797,0
5.9,0.224609375,-0.419921875,-0.841674805,9.948730469,-54.07714844,20.69091797,0
6,0.224609375,-0.419921875,-0.841674805,-4.028320313,-54.07714844,20.69091797,0
6.1,0.224609375,-0.419921875,-0.841674805,-4.028320313,-40.52734375,20.69091797,0
6.2,0.224609375,-0.419921875,-0.841674805,-4.028320313,-40.52734375,18.37158203,0
6.3,-0.622070313,-0.419921875,-0.841674805,-4.028320313,-40.52734375,18.37158203,0
6.4,-0.622070313,-0.362060547,-0.841674805,-4.028320313,-40.52734375,18.37158203,0
6.6,-0.622070313,-0.362060547,-0.599121094,-4.028320313,-40.52734375,18.37158203,0
6.7,-0.622070313,-0.362060547,-0.599121094,-4.028320313,-40.52734375,18.37158203,0
6.8,-0.622070313,-0.362060547,-0.599121094,9.826660156,-40.52734375,18.37158203,0
6.9,-0.622070313,-0.362060547,-0.599121094,9.826660156,-32.95898438,18.37158203,0
7,-0.622070313,-0.362060547,-0.599121094,9.826660156,-32.95898438,21.05712891,0
7.1,-0.871459961,-0.362060547,-0.599121094,9.826660156,-32.95898438,21.05712891,0
7.2,-0.871459961,-0.375976563,-0.599121094,9.826660156,-32.95898438,21.05712891,0
7.3,-0.871459961,-0.375976563,-0.583251953,9.826660156,-32.95898438,21.05712891,0
7.4,-0.871459961,-0.375976563,-0.583251953,-7.32421875,-32.95898438,21.05712891,0
7.5,-0.871459961,-0.375976563,-0.583251953,-7.32421875,71.22802734,21.05712891,0
7.6,-0.871459961,-0.375976563,-0.583251953,-7.32421875,71.22802734,-31.98242188,0
7.7,-0.185668945,-0.375976563,-0.583251953,-7.32421875,71.22802734,-31.98242188,0
7.9,-0.185668945,-0.375976563,-0.583251953,-7.32421875,71.22802734,-31.98242188,0
8,-0.185668945,-0.492919922,-0.583251953,-7.32421875,71.22802734,-31.98242188,0
8.1,-0.185668945,-0.492919922,-0.850708008,-7.32421875,71.22802734,-31.98242188,0
8.2,-0.185668945,-0.492919922,-0.850708008,2.136230469,71.22802734,-31.98242188,0
8.3,-0.185668945,-0.492919922,-0.850708008,2.136230469,53.77197266,-31.98242188,0
8.4,-0.185668945,-0.492919922,-0.850708008,2.136230469,53.77197266,-15.44189453,0
8.5,0.499023438,-0.492919922,-0.850708008,2.136230469,53.77197266,-15.44189453,0
8.6,0.499023438,-0.375,-0.850708008,2.136230469,53.77197266,-15.44189453,0
8.7,0.499023438,-0.375,-0.940795898,2.136230469,53.77197266,-15.44189453,0
8.8,0.499023438,-0.375,-0.940795898,2.136230469,53.77197266,-15.44189453,0
8.9,0.499023438,-0.375,-0.940795898,-0.366210938,53.77197266,-15.44189453,0
9,0.499023438,-0.375,-0.940795898,-0.366210938,-67.87109375,-15.44189453,0
9.1,0.499023438,-0.375,-0.940795898,-0.366210938,-67.87109375,23.80371094,0
9.3,-0.403076172,-0.375,-0.940795898,-0.366210938,-67.87109375,23.80371094,0
9.4,-0.403076172,-0.459594727,-0.940795898,-0.366210938,-67.87109375,23.80371094,0
9.5,-0.403076172,-0.459594727,-0.749145508,-0.366210938,-67.87109375,23.80371094,0
9.6,-0.403076172,-0.459594727,-0.749145508,4.699707031,-67.87109375,23.80371094,0
9.7,-0.403076172,-0.459594727,-0.749145508,4.699707031,-30.15136719,23.80371094,0
9.8,-0.403076172,-0.459594727,-0.749145508,4.699707031,-30.15136719,23.80371094,0
9.9,-0.403076172,-0.459594727,-0.749145508,4.699707031,-30.15136719,11.41357422,0
10,-0.797485352,-0.459594727,-0.749145508,4.699707031,-30.15136719,11.41357422,0
0,-0.91394043,-0.296630859,-0.296508789,-6.8359375,-1.831054688,2.197265625,1
0.1,-0.91394043,-0.296630859,-0.296508789,-4.577636719,-1.831054688,2.197265625,1
0.2,-0.91394043,-0.296630859,-0.296508789,-4.577636719,9.643554688,2.197265625,1
0.3,-0.91394043,-0.296630859,-0.296508789,-4.577636719,9.643554688,2.197265625,1
0.4,-0.91394043,-0.296630859,-0.296508789,-4.577636719,9.643554688,-61.09619141,1
0.5,-0.766113281,-0.296630859,-0.296508789,-4.577636719,9.643554688,-61.09619141,1
0.6,-0.766113281,-0.483642578,-0.296508789,-4.577636719,9.643554688,-61.09619141,1
0.7,-0.766113281,-0.483642578,-0.956787109,-4.577636719,9.643554688,-61.09619141,1
0.8,-0.766113281,-0.483642578,-0.956787109,8.483886719,9.643554688,-61.09619141,1
0.9,-0.766113281,-0.483642578,-0.956787109,8.483886719,87.46337891,-61.09619141,1
1.1,-0.766113281,-0.483642578,-0.956787109,8.483886719,87.46337891,49.31640625,1
1.2,0.007446289,-0.483642578,-0.956787109,8.483886719,87.46337891,49.31640625,1
1.3,0.007446289,-0.681396484,-0.956787109,8.483886719,87.46337891,49.31640625,1
1.4,0.007446289,-0.681396484,-0.956787109,8.483886719,87.46337891,49.31640625,1
1.5,0.007446289,-0.681396484,-0.901977539,8.483886719,87.46337891,49.31640625,1
1.6,0.007446289,-0.681396484,-0.901977539,39.91699219,87.46337891,49.31640625,1
1.7,0.007446289,-0.681396484,-0.901977539,39.91699219,-56.51855469,49.31640625,1
1.8,0.007446289,-0.681396484,-0.901977539,39.91699219,-56.51855469,-61.34033203,1
1.9,-0.854858398,-0.681396484,-0.901977539,39.91699219,-56.51855469,-61.34033203,1
2,-0.854858398,-0.436035156,-0.901977539,39.91699219,-56.51855469,-61.34033203,1
2.1,-0.854858398,-0.436035156,-0.693847656,39.91699219,-56.51855469,-61.34033203,1
2.2,-0.854858398,-0.436035156,-0.693847656,46.50878906,-56.51855469,-61.34033203,1
2.3,-0.854858398,-0.436035156,-0.693847656,46.50878906,-56.51855469,-61.34033203,1
2.5,-0.854858398,-0.436035156,-0.693847656,46.50878906,-130.065918,-61.34033203,1
2.6,-0.854858398,-0.436035156,-0.693847656,46.50878906,-130.065918,106.4453125,1
2.7,-0.354614258,-0.436035156,-0.693847656,46.50878906,-130.065918,106.4453125,1
2.8,-0.354614258,-0.557128906,-0.693847656,46.50878906,-130.065918,106.4453125,1
2.9,-0.354614258,-0.557128906,-0.753051758,46.50878906,-130.065918,106.4453125,1
3,-0.354614258,-0.557128906,-0.753051758,-9.338378906,-130.065918,106.4453125,1
3.1,-0.354614258,-0.557128906,-0.753051758,-9.338378906,184.8144531,106.4453125,1
3.2,-0.354614258,-0.557128906,-0.753051758,-9.338378906,184.8144531,-87.52441406,1
3.3,-0.354614258,-0.557128906,-0.753051758,-9.338378906,184.8144531,-87.52441406,1
3.4,-0.006958008,-0.557128906,-0.753051758,-9.338378906,184.8144531,-87.52441406,1
3.5,-0.006958008,-0.250244141,-0.753051758,-9.338378906,184.8144531,-87.52441406,1
3.6,-0.006958008,-0.250244141,0.245361328,-9.338378906,184.8144531,-87.52441406,1
3.7,-0.006958008,-0.250244141,0.245361328,14.28222656,184.8144531,-87.52441406,1
3.8,-0.006958008,-0.250244141,0.245361328,14.28222656,-196.105957,-87.52441406,1
3.9,-0.006958008,-0.250244141,0.245361328,14.28222656,-196.105957,-87.52441406,1
4.1,-0.006958008,-0.250244141,0.245361328,14.28222656,-196.105957,87.52441406,1
4.2,-0.849121094,-0.250244141,0.245361328,14.28222656,-196.105957,87.52441406,1
4.3,-0.849121094,-0.475585938,0.245361328,14.28222656,-196.105957,87.52441406,1
0.1,-0.773681641,-0.487060547,-0.443481445,-84.35058594,18.00537109,1.586914063,2
0.2,-0.773681641,-0.356567383,-0.443481445,-84.35058594,18.00537109,1.586914063,2
0.3,-0.773681641,-0.356567383,-0.443481445,-84.35058594,18.00537109,1.586914063,2
0.4,-0.773681641,-0.356567383,-0.608520508,-84.35058594,18.00537109,1.586914063,2
0.5,-0.773681641,-0.356567383,-0.608520508,52.12402344,18.00537109,1.586914063,2
0.7,-0.773681641,-0.356567383,-0.608520508,52.12402344,53.95507813,1.586914063,2
0.8,-0.773681641,-0.356567383,-0.608520508,52.12402344,53.95507813,-5.737304688,2
0.9,-0.698364258,-0.356567383,-0.608520508,52.12402344,53.95507813,-5.737304688,2
1,-0.698364258,-0.872436523,-0.608520508,52.12402344,53.95507813,-5.737304688,2
1.1,-0.698364258,-0.872436523,0.276611328,52.12402344,53.95507813,-5.737304688,2
1.2,-0.698364258,-0.872436523,0.276611328,52.12402344,53.95507813,-5.737304688,2
1.3,-0.698364258,-0.872436523,0.276611328,14.83154297,53.95507813,-5.737304688,2
1.4,-0.698364258,-0.872436523,0.276611328,14.83154297,2.807617188,-5.737304688,2
