time,ax,ay,az,gx,gy,gz,quality
0,-0.826782227,-0.289550781,-0.479980469,0.610351563,0.48828125,-0.854492188,0
0.1,-0.826782227,-0.289550781,-0.479980469,0.610351563,0.061035156,-0.854492188,0
0.2,-0.826782227,-0.289550781,-0.479980469,0.610351563,0.061035156,-0.854492188,0
0.3,-0.826782227,-0.289550781,-0.479980469,0.610351563,0.061035156,-17.08984375,0
0.4,-1.022583008,-0.289550781,-0.479980469,0.610351563,0.061035156,-17.08984375,0
0.5,-1.022583008,-1.276367188,-0.479980469,0.610351563,0.061035156,-17.08984375,0
0.6,-1.022583008,-1.276367188,-0.692993164,0.610351563,0.061035156,-17.08984375,0
0.7,-1.022583008,-1.276367188,-0.692993164,94.54345703,0.061035156,-17.08984375,0
0.8,-1.022583008,-1.276367188,-0.692993164,94.54345703,-16.6015625,-17.08984375,0
0.9,-1.022583008,-1.276367188,-0.692993164,94.54345703,-16.6015625,-148.9257813,0
1,-1.022583008,-1.276367188,-0.692993164,94.54345703,-16.6015625,-148.9257813,0
1.1,0.53527832,-1.276367188,-0.692993164,94.54345703,-16.6015625,-148.9257813,0
1.2,0.53527832,0.465698242,-0.692993164,94.54345703,-16.6015625,-148.9257813,0
1.3,0.53527832,0.465698242,-0.164550781,94.54345703,-16.6015625,-148.9257813,0
1.4,0.53527832,0.465698242,-0.164550781,-49.8046875,-16.6015625,-148.9257813,0
1.6,0.53527832,0.465698242,-0.164550781,-49.8046875,-16.6015625,-148.9257813,0
1.7,0.53527832,0.465698242,-0.164550781,-49.8046875,55.41992188,-148.9257813,0
1.8,0.53527832,0.465698242,-0.164550781,-49.8046875,55.41992188,178.1616211,0
1.9,-0.459838867,0.465698242,-0.164550781,-49.8046875,55.41992188,178.1616211,0
2,-0.459838867,-0.870361328,-0.164550781,-49.8046875,55.41992188,178.1616211,0
2.1,-0.459838867,-0.870361328,-0.817871094,-49.8046875,55.41992188,178.1616211,0
2.2,-0.459838867,-0.870361328,-0.817871094,-49.8046875,55.41992188,178.1616211,0
2.3,-0.459838867,-0.870361328,-0.817871094,25.20751953,55.41992188,178.1616211,0
2.4,-0.459838867,-0.870361328,-0.817871094,25.20751953,23.74267578,178.1616211,0
